timestamp,datetime_utc,longUsd,shortUsd,totalUsd
1772287200000,2026-02-28T14:00:00.000Z,1614660.07071,871578.14921,2486238.21992
1772289000000,2026-02-28T14:30:00.000Z,1819307.72821,1475945.88107,3295253.60928
1772290800000,2026-02-28T15:00:00.000Z,181791.4525,663501.85671,845293.30921
1772292600000,2026-02-28T15:30:00.000Z,11128.2968,517265.09241,528393.3892099999
1772294400000,2026-02-28T16:00:00.000Z,8929.4351,12263.4937,21192.9288
1772296200000,2026-02-28T16:30:00.000Z,6052.4556,312789.83499,318842.29059
1772298000000,2026-02-28T17:00:00.000Z,3115.9627,61624.0653,64740.028000000006
1772299800000,2026-02-28T17:30:00.000Z,18775.029,1923199.80869,1941974.8376900002
1772301600000,2026-02-28T18:00:00.000Z,60221.0146,1510.2605,61731.2751
1772303400000,2026-02-28T18:30:00.000Z,16125.47162,8920912.416,8937037.88762
1772305200000,2026-02-28T19:00:00.000Z,272274.96781,15594.83936,287869.80717
1772307000000,2026-02-28T19:30:00.000Z,208111.29223,11412161.85404,11620273.146270001
1772308800000,2026-02-28T20:00:00.000Z,91678.0334,8237198.40464,8328876.43804
1772310600000,2026-02-28T20:30:00.000Z,788973.6074,5823870.6224,6612844.2298
1772312400000,2026-02-28T21:00:00.000Z,919111.13875,728437.17908,1647548.31783
1772314200000,2026-02-28T21:30:00.000Z,157906.43155,770218.43214,928124.86369
1772316000000,2026-02-28T22:00:00.000Z,0,724601.41015,724601.41015
1772317800000,2026-02-28T22:30:00.000Z,509534.91937,10384455.32371,10893990.24308
1772319600000,2026-02-28T23:00:00.000Z,413364.71616,0,413364.71616
1772321400000,2026-02-28T23:30:00.000Z,422040.47122,12858.9503,434899.42152000003
1772323200000,2026-03-01T00:00:00.000Z,48015.6181,55732.33158,103747.94967999999
1772325000000,2026-03-01T00:30:00.000Z,453951.32487,5210.0932,459161.41807
1772326800000,2026-03-01T01:00:00.000Z,2577609.1714,117988.4195,2695597.5908999997
1772328600000,2026-03-01T01:30:00.000Z,1127861.86124,3957263.76449,5085125.62573
1772330400000,2026-03-01T02:00:00.000Z,478011.66376,7862514.0076,8340525.67136
1772332200000,2026-03-01T02:30:00.000Z,357867.83352,434434.73704,792302.5705599999
1772334000000,2026-03-01T03:00:00.000Z,620590.47714,4604.3622,625194.83934
1772335800000,2026-03-01T03:30:00.000Z,8024.2935,1487.2266,9511.5201
1772337600000,2026-03-01T04:00:00.000Z,1173694.02139,23753.6675,1197447.6888899999
1772339400000,2026-03-01T04:30:00.000Z,0,34659.3589,34659.3589
1772341200000,2026-03-01T05:00:00.000Z,671.7876,374696.64837,375368.43597
1772343000000,2026-03-01T05:30:00.000Z,10161.6,1896.7716,12058.3716
1772344800000,2026-03-01T06:00:00.000Z,513906.86241,1543.1639,515450.02631
1772346600000,2026-03-01T06:30:00.000Z,200657.2876,0,200657.2876
1772348400000,2026-03-01T07:00:00.000Z,12865.36985,45078.8423,57944.21214999999
1772350200000,2026-03-01T07:30:00.000Z,334.6234,276523.04665,276857.67004999996
1772352000000,2026-03-01T08:00:00.000Z,55001.9447,146792.28474,201794.22944
1772353800000,2026-03-01T08:30:00.000Z,2488552.44179,1482.409,2490034.85079
1772355600000,2026-03-01T09:00:00.000Z,1177968.86532,353346.14196,1531315.00728
1772357400000,2026-03-01T09:30:00.000Z,772584.82004,6440.4784,779025.29844
1772359200000,2026-03-01T10:00:00.000Z,36319.8512,118232.9756,154552.8268
1772361000000,2026-03-01T10:30:00.000Z,23378.9256,366568.19847,389947.12407
1772362800000,2026-03-01T11:00:00.000Z,0,19047.6789,19047.6789
1772364600000,2026-03-01T11:30:00.000Z,13668.4243,0,13668.4243
1772366400000,2026-03-01T12:00:00.000Z,1207,597.9015,1804.9015
1772368200000,2026-03-01T12:30:00.000Z,376628.32544,43238.27834,419866.60378
1772370000000,2026-03-01T13:00:00.000Z,266349.66506,31835.0276,298184.69266000006
1772371800000,2026-03-01T13:30:00.000Z,337650.59172,3699980.58704,4037631.17876
1772373600000,2026-03-01T14:00:00.000Z,201991.2537,188930.42075,390921.67445
1772375400000,2026-03-01T14:30:00.000Z,41567.6889,69134.5236,110702.2125
1772377200000,2026-03-01T15:00:00.000Z,268.0596,289088.69979,289356.75938999996
1772379000000,2026-03-01T15:30:00.000Z,215013.6889,24807.58757,239821.27647
1772380800000,2026-03-01T16:00:00.000Z,167513.82844,236173.25038,403687.07882000005
1772382600000,2026-03-01T16:30:00.000Z,7194099.15835,422414.68806,7616513.84641
1772384400000,2026-03-01T17:00:00.000Z,911070.40335,187614.5098,1098684.91315
1772386200000,2026-03-01T17:30:00.000Z,197.7882,47813.16712,48010.95532
1772388000000,2026-03-01T18:00:00.000Z,132.8012,1090345.92218,1090478.72338
1772389800000,2026-03-01T18:30:00.000Z,71848.08224,265.514,72113.59624
1772391600000,2026-03-01T19:00:00.000Z,713282.8181,1193.331,714476.1491
1772393400000,2026-03-01T19:30:00.000Z,492879.40802,7394.8476,500274.25561999995
1772395200000,2026-03-01T20:00:00.000Z,5769338.74125,1076.26336,5770415.00461
1772397000000,2026-03-01T20:30:00.000Z,1516140.27004,95421.0472,1611561.31724
1772398800000,2026-03-01T21:00:00.000Z,2552.5178,1266888.72857,1269441.24637
1772400600000,2026-03-01T21:30:00.000Z,0,41249.91698,41249.91698
1772402400000,2026-03-01T22:00:00.000Z,207468.41859,5463818.56252,5671286.98111
1772404200000,2026-03-01T22:30:00.000Z,2342187.78174,136144.91105,2478332.69279
1772406000000,2026-03-01T23:00:00.000Z,249166.56245,1038431.71167,1287598.27412
1772407800000,2026-03-01T23:30:00.000Z,1117.5919,102719.6415,103837.2334
1772409600000,2026-03-02T00:00:00.000Z,44131.3568,389642.84766,433774.20446000004
1772411400000,2026-03-02T00:30:00.000Z,930.8818,4048904.69233,4049835.57413
1772413200000,2026-03-02T01:00:00.000Z,235388.30681,1539080.98027,1774469.28708
1772415000000,2026-03-02T01:30:00.000Z,131792.0551,6718.5607,138510.6158
1772416800000,2026-03-02T02:00:00.000Z,977383.13246,3705.1042,981088.2366599999
1772418600000,2026-03-02T02:30:00.000Z,2515.258,85614.91566,88130.17366
1772420400000,2026-03-02T03:00:00.000Z,5421.3207,965582.8353,971004.1560000001
1772422200000,2026-03-02T03:30:00.000Z,0,126789.52445,126789.52445
1772424000000,2026-03-02T04:00:00.000Z,4267.4641,49885.6109,54153.075
1772425800000,2026-03-02T04:30:00.000Z,1865.7245,668.217,2533.9415
1772427600000,2026-03-02T05:00:00.000Z,138160.45141,2273.2503,140433.70171000002
1772429400000,2026-03-02T05:30:00.000Z,9068.5092,135580.94798,144649.45718
1772431200000,2026-03-02T06:00:00.000Z,1206180.79922,198.7326,1206379.53182
1772433000000,2026-03-02T06:30:00.000Z,4234.43825,1988.517,6222.95525
1772434800000,2026-03-02T07:00:00.000Z,2797831.65925,29165.7464,2826997.40565
