timestamp,datetime_utc,price_open,price_high,price_low,price_close,liquidation_long_usd,liquidation_short_usd,liquidation_total_usd,funding_open,funding_high,funding_low,funding_close,oi_open,oi_high,oi_low,oi_close,oi_weight_open,oi_weight_high,oi_weight_low,oi_weight_close,cvd_open,cvd_high,cvd_low,cvd_close
1779724500000,2026-05-25T15:55:00.000Z,77578.6,77629.4,77568.5,77587.2,0,0,0,0.00003527,0.00003527,0.00003527,0.00003527,7719003148.8787,7719003148.8787,7719003148.8787,7719003148.8787,0.00003527,0.00003527,0.00003527,0.00003527,-2.040999999999997,-2.040999999999997,-2.040999999999997,-2.040999999999997
1779724800000,2026-05-25T16:00:00.000Z,77587.2,77608.3,77533.4,77563.3,0,0,0,0.00003527,0.00003527,0.00003527,0.00003527,7720258802.8188,7720258802.8188,7720258802.8188,7720258802.8188,0.00003527,0.00003527,0.00003527,0.00003527,-225.236,-225.236,-225.236,-225.236
1779725100000,2026-05-25T16:05:00.000Z,77563.2,77571.8,77541.8,77541.9,0,0,0,0.00001426,0.00001426,0.00001426,0.00001426,7727604319.4064,7727604319.4064,7727604319.4064,7727604319.4064,0.00001426,0.00001426,0.00001426,0.00001426,-218.43599999999998,-218.43599999999998,-218.43599999999998,-218.43599999999998
1779725400000,2026-05-25T16:10:00.000Z,77541.8,77560.7,77472,77473.9,0,0,0,0.00001426,0.00001426,0.00001426,0.00001426,7725452397.898245,7725452397.898245,7725452397.898245,7725452397.898245,0.00001426,0.00001426,0.00001426,0.00001426,-337.104,-337.104,-337.104,-337.104
1779725700000,2026-05-25T16:15:00.000Z,77474,77525.6,77471.5,77501.3,0,0,0,0.00001426,0.00001426,0.00001426,0.00001426,7717879339.2771,7717879339.2771,7717879339.2771,7717879339.2771,0.00001426,0.00001426,0.00001426,0.00001426,-378.39599999999996,-378.39599999999996,-378.39599999999996,-378.39599999999996
1779726000000,2026-05-25T16:20:00.000Z,77501.2,77597.8,77486.5,77551.6,0,0,0,0.00001426,0.00001426,0.00001426,0.00001426,7715142890.6293,7715142890.6293,7715142890.6293,7715142890.6293,0.00001426,0.00001426,0.00001426,0.00001426,-354.68499999999995,-354.68499999999995,-354.68499999999995,-354.68499999999995
1779726300000,2026-05-25T16:25:00.000Z,77551.6,77569.3,77530.1,77549.5,0,0,0,0.00001426,0.00001426,0.00001426,0.00001426,7720015352.804042,7720015352.804042,7720015352.804042,7720015352.804042,0.00001426,0.00001426,0.00001426,0.00001426,-368.8449999999999,-368.8449999999999,-368.8449999999999,-368.8449999999999
1779726600000,2026-05-25T16:30:00.000Z,77549.4,77563.8,77540.8,77549.4,0,0,0,0.00001426,0.00001426,0.00001426,0.00001426,7720578744.87,7720578744.87,7720578744.87,7720578744.87,0.00001426,0.00001426,0.00001426,0.00001426,-375.0479999999999,-375.0479999999999,-375.0479999999999,-375.0479999999999
1779726900000,2026-05-25T16:35:00.000Z,77549.4,77612.8,77549.4,77594.4,0,0,0,0.00001426,0.00001426,0.00001426,0.00001426,7719917273.383207,7719917273.383207,7719917273.383207,7719917273.383207,0.00001426,0.00001426,0.00001426,0.00001426,-355.5219999999999,-355.5219999999999,-355.5219999999999,-355.5219999999999
1779727200000,2026-05-25T16:40:00.000Z,77594.5,77655.2,77560.6,77649.4,0,0,0,0.00001426,0.00001426,0.00001426,0.00001426,7721888034.9312,7721888034.9312,7721888034.9312,7721888034.9312,0.00001426,0.00001426,0.00001426,0.00001426,-348.75699999999983,-348.75699999999983,-348.75699999999983,-348.75699999999983
